web-scraper-order,web-scraper-start-url,Listing,Price,Shipping,Total sold,Revenue,Bids,Date
"1700764028-1","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR 128GB - OPTISCH WIE NEU - Schwarz Weiß Rot Koralle Blau Gelb WOWApple iPhone XR 128GB - OPTISCH WIE NEU - Schwarz Weiß Rot Koralle Blau Gelb WOW","$371.59Fixed price","$0.00100% Free shipping","275","$102,187.31","–","Oct 29, 2023"
"1700764028-2","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageAPPLE IPHONE XR 128GB ROT BLAU WEISS CORAL SCHWARZ GELB - WIE NEU - soweit vorr.APPLE IPHONE XR 128GB ROT BLAU WEISS CORAL SCHWARZ GELB - WIE NEU - soweit vorr.","$507.18Fixed price","$0.00100% Free shipping","182","$92,307.03","–","Sep 22, 2021"
"1700764028-3","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR - Ohne Simlock Ohne Vertrag Smartphone FachhändlerApple iPhone XR - Ohne Simlock Ohne Vertrag Smartphone Fachhändler","$385.29Fixed price","$29.0299% Free shipping","120","$46,234.28","–","Nov 21, 2023"
"1700764028-4","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR - Wie Neu - Ohne Simlock - Ohne Vertrag - Smartphone - WOWApple iPhone XR - Wie Neu - Ohne Simlock - Ohne Vertrag - Smartphone - WOW","$486.03Fixed price","$19.6699% Free shipping","97","$47,145.25","–","Nov 23, 2023"
"1700764028-5","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR 128GB - Schwarz Rot Weiß- Ohne Vertrag - EXCELLENTApple iPhone XR 128GB - Schwarz Rot Weiß- Ohne Vertrag - EXCELLENT","$287.74Fixed price","$0.00100% Free shipping","90","$25,896.56","–","Jul 19, 2023"
"1700764028-6","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone Xr 128GB / Schwarz Weiß Blau Rot Gelb Koralle / GebrauchtApple iPhone Xr 128GB / Schwarz Weiß Blau Rot Gelb Koralle / Gebraucht","$407.90Fixed price","$15.7799% Free shipping","80","$32,631.86","–","Oct 13, 2022"
"1700764028-7","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR - 128GB - (Ohne Simlock) A2105 Handy - Sehr Gut RefurbishedApple iPhone XR - 128GB - (Ohne Simlock) A2105 Handy - Sehr Gut Refurbished","$404.98Fixed price","$2.8291% Free shipping","55","$22,273.98","–","Mar 3, 2022"
"1700764028-8","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR 128GB schwarz ohne Vertrag (ohne Simlock) Neuwertig mit OVPApple iPhone XR 128GB schwarz ohne Vertrag (ohne Simlock) Neuwertig mit OVP","$327.27Fixed price","$0.00100% Free shipping","54","$17,672.71","–","Jan 20, 2023"
"1700764028-9","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone XR 64 128 Blau Schwarz Koralle Weiß Gelb Rot - Sow.Vorrat SEHR GUTApple iPhone XR 64 128 Blau Schwarz Koralle Weiß Gelb Rot - Sow.Vorrat SEHR GUT","$438.40Fixed price","$0.00100% Free shipping","51","$22,358.53","–","Dec 21, 2022"
"1700764028-10","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+XR&aspect=Speicherkapazit%C3%A4t%3A%3A%3A128+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageNeu Apple iPhone XR - 128GB - Schwarz (Ohne Simlock) Smartphones  ✔️OVP✔️ Neu Apple iPhone XR - 128GB - Schwarz (Ohne Simlock) Smartphones  ✔️OVP✔️","$556.33Fixed price","$0.00100% Free shipping","50","$27,816.50","–","Apr 30, 2022"
