web-scraper-order,web-scraper-start-url,Listing,Price,Shipping,Total sold,Revenue,Bids,Date
"1700760814-1","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 - 512GB - WIE NEU - Schwarz Weiß Rot Grün Blau Rose sow vorrätigApple iPhone 13 - 512GB - WIE NEU - Schwarz Weiß Rot Grün Blau Rose sow vorrätig","$835.63Fixed price","$0.00100% Free shipping","37","$30,918.26","–","Dec 6, 2022"
"1700760814-2","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 512GB Rot - Zustand: BrandneuApple iPhone 13 512GB Rot - Zustand: Brandneu","$813.42Fixed price","$0.00100% Free shipping","32","$26,029.31","–","Aug 14, 2022"
"1700760814-3","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 512GB Mitternacht - Zustand: BrandneuApple iPhone 13 512GB Mitternacht - Zustand: Brandneu","$1,034.25Fixed price","$0.00100% Free shipping","22","$22,753.47","–","Sep 14, 2022"
"1700760814-4","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple IPHONE 13 5G 512GB Neu Original Smartphone Schwarz MidnightApple IPHONE 13 5G 512GB Neu Original Smartphone Schwarz Midnight","$947.41Fixed price","$0.00100% Free shipping","21","$19,895.59","–","May 29, 2023"
"1700760814-5","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Smartphone Neu vom Händler ohne SIMlock + OVPApple iPhone 13 Smartphone Neu vom Händler ohne SIMlock + OVP","$964.96Fixed price","$0.00100% Free shipping","18","$17,369.26","–","Jan 23, 2023"
"1700760814-6","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 512GB Blau - Zustand: BrandneuApple iPhone 13 512GB Blau - Zustand: Brandneu","$1,037.41Fixed price","$0.00100% Free shipping","16","$16,598.49","–","Sep 18, 2022"
"1700760814-7","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 Smartphone Neu vom Händler ohne SIMlock + OVPApple iPhone 13 Smartphone Neu vom Händler ohne SIMlock + OVP","$1,163.73Fixed price","$0.00100% Free shipping","12","$13,964.78","–","Feb 15, 2022"
"1700760814-8","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 - 512GB - (PRODUCT)RED - ROT - Ohne Simlock - Neu & OVP & WOWApple iPhone 13 - 512GB - (PRODUCT)RED - ROT - Ohne Simlock - Neu & OVP & WOW","$983.05Fixed price","$0.00100% Free shipping","12","$11,796.55","–","May 17, 2022"
"1700760814-9","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple Iphone 13 Rot Red 512 GB Neu (Ungeöffnet) Blitzversand Ohne Simlock HandyApple Iphone 13 Rot Red 512 GB Neu (Ungeöffnet) Blitzversand Ohne Simlock Handy","$937.17Fixed price","$0.00100% Free shipping","13","$12,183.15","–","May 18, 2022"
"1700760814-10","https://www.ebay.com/sh/research?marketplace=EBAY-DE&keywords=iphone&dayRange=1095&endDate=1700763106554&startDate=1606155106554&categoryId=9355&minPrice=150&maxPrice=2000&aspect=Marke%3A%3A%3AApple&aspect=Modell%3A%3A%3AApple+iPhone+13&aspect=Speicherkapazit%C3%A4t%3A%3A%3A512+GB&aspect=Betriebssystem%3A%3A%3AiOS&buyerCountry=BuyerLocation%3A%3A%3ADE&offset=0&limit=50&tabName=SOLD&tz=Europe%2FBerlin",", preview full size imageApple iPhone 13 128 256 512 Rot Weiß Schwarz Blau Rose - Refurbished - WIE NEUApple iPhone 13 128 256 512 Rot Weiß Schwarz Blau Rose - Refurbished - WIE NEU","$908.44Fixed price","$0.00100% Free shipping","11","$9,992.80","–","Jun 14, 2023"
