,Product,Price,Date
38,Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1897 (GSM),$125.00,20220103
39,Apple iPhone XS Max - 64gb - Space Gray Unlocked - Great Condition -SHIPS NOW!!!,$399.00,20220103
40,Apple iPhone XR 128GB Factory Unlocked 4G LTE Smartphone - Excellent,$339.99,20220103
41,Apple iPhone 12 Pro Max - 256GB - Silver (Unlocked)  2 CASES INCLUDED,$995.00,20220103
42,Apple iPhone 8 64GB 128GB 256GB Factory Unlocked Excellent Condition,$179.99,20220103
43,Apple iPhone SE 1 Gen 16/32/64/128GB - Fully Unlocked - Sealed in Original Box,$121.99 to $221.99,20220103
44,Apple iPhone 11 Pro Max - 256GB - Silver (AT&T) A2161 (CDMA + GSM),$360.00,20220103
2031,Apple iPhone XR Black 128GB LTE GSM CDMA UMTS,$259.99,20220103
2041,Apple iPhone 11 Pro Max - 256GB - All Colors (Unlocked) - Very Good Condition ,$683.99 to $701.99,20220103
2047,Apple iPhone 12 -64GB- Black (Boost),$500.00,20220103
2048,Open Box - Apple iPhone 12 - 64GB - Blue ( Factory Unlocked ) A2172 GSM & CDMA,$669.69,20220103
2049,Apple iPhone 11 Pro Max - 256GB - Midnight Green (Unlocked) A2161 (CDMA + GSM),$192.50,20220103
2051,Apple iPhone 8 64GB 256GB - Fully Unlocked - New Unused & Sealed in Orginal Box ,$289.99 to $349.99,20220103
2052,Apple iPhone XR - 64GB - All Colors - Fully Unlocked - Very Good Condition ,$350.99 to $359.99,20220103
2059,Apple iPhone XS Max - 64GB - All Colors - Fully Unlocked - Very Good Condition,$377.99,20220103
2060,Apple iPhone 12 Mini Factory Unlocked 64GB 256GB - Very Good Condition,$479.95 to $539.95,20220103
2062,Apple iPhone 8 - 64GB - All Colors - Unlocked - Very Good Condition ,$215.99,20220103
2063,Apple iPhone X 64GB Factory Unlocked AT&T T-Mobile Verizon - Very Good,$279.99,20220103
2064,Apple iPhone 7 Plus - Jet Black A1784 See Description,$3.25,20220103
2065,Apple iPhone 12 Pro A2341 128GB Blue! Clean ESN! Factory Unlocked phone!,$808.74,20220103
2066,"Apple iPhone 7+ Plus 32GB 128GB 256GB GSM ""Factory Unlocked Phone Good Condition",$184.95 to $219.95,20220103
2067,"Apple iPhone 7 32GB 128GB 256GB GSM ""Factory Unlocked"" All Colors Good Condition",$129.95,20220103
2068,Apple iPhone 11 64GB 128GB 256GB Verizon T-Mobile AT&T Good Condition,$369.99 to $519.99,20220103
2069,Apple iPhone 3GS (AT&T) 8GB Black In Box 1st Appearance - GSM 3G - Model A1303,$35.99,20220103
4058,Apple iPhone 11 Pro - 256GB - Gold (Unlocked) A2160 (CDMA + GSM),$450.00,20220103
4069,APPLE IPHONE SE 1st generation 64GB FACTORY UNLOCKED Space Gray,$85.00,20220103
4074,Apple iPhone XR 128GB Factory Unlocked 4G LTE Smartphone - Very Good,$324.99,20220103
4075,Apple iPhone XR 64GB Factory Unlocked Smartphone - Very Good,$309.95,20220103
4076,Apple iPhone 7 - 32GB - Black (TracFone/Total Wireless) A1660 (CDMA + GSM),$79.00,20220103
4080,Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) A2111 (CDMA + GSM),$399.00,20220103
4081,Apple iPhone XR 128GB Fully Unlocked (GSM+CDMA) Coral NO FACE ID,$310.00,20220103
4082,Apple iPhone SE (1st Generation) (2016) - 64GB - Space Gray A1662 Used,$56.00,20220103
4085,Open Box Apple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked) 😃,"$1,069.42",20220103
4086,SEALED Apple iPhone 6 Plus 16GB Gold (Unlocked) A1522 (GSM) MGC12LL/A - NEW,$164.97,20220103
4089,Apple iPhone 7 (PRODUCT) RED - 128GB - AT&T UNLOCKED ,$175.00,20220103
4090,Apple iPhone 12 Pro Max - 512GB - Gold (Unlocked),$850.00,20220103
4091,Apple iPhone 5c - 8GB - Pink (AT&T) A1532,$29.99,20220103
4094,Apple iPhone 7 Plus - Unlocked - 32GB - Black - Smartphone - Very Good,$189.99,20220103
4095,Apple iPhone XR - 64GB - White (Unlocked) Used,$300.00,20220103
